Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date,,,,,,
24|38|24|3|Get It On Tonite|MONTELL JORDAN|1999-12-11|43|4|25|19991225,,,,,,
25|24|19|25|Back That Thang Up|JUVENILE feat. MANNY FRESH & LIL' WAYNE|1999-07-10|78|19|30|19991225,,,,,,
26|26|26|6|Big Deal|LeANN RIMES|1999-11-20|48|23|15|19991225,,,,,,
27|20|13|19|Get Gone|IDEAL|1999-08-21|86|13|22|19991225,,,,,,
28|28|28|4|Breathe|FAITH HILL|1999-12-04|42|2|49|19991225,,,,,,
29|46|29|2|Dancin'|GUY|1999-12-18|46|19|11|19991225,,,,,,
30|34|30|4|That's The Way It Is|CELINE DION|1999-12-04|49|6|25|19991225,,,,,,
31|30|30|5|He Didn't Have To Be|BRAD PAISLEY|1999-11-27|46|30|15|19991225,,,,,,
32|19|2|14|Satisfy You|PUFF DADDY featuring R KELLY|1999-09-25|74|2|20|19991225,,,,,,
33|37|33|4|Got Your Money|OL' DIRTY BASTARD featuring KELIS|1999-12-04|48|33|14|19991225,,,,,,
34|23|7|26|Someday|SUGAR RAY|1999-07-03|66|7|32|19991225,,,,,,
35|35|35|4|Hangingaround|COUNTING CROWS|1999-12-04|46|28|16|19991225,,,,,,
36|40|31|12|Stay The Night|IMX|1999-10-09|84|23|20|19991225,,,,,,
37|33|16|25|Black Balloon|GOO GOO DOLLS|1999-07-10|66|16|34|19991225,,,,,,
38|NEW|38|1|Take A Picture|FILTER|1999-12-25|38|12|16|19991225,,,,,,
39|39|39|3|Shake Your Bon-Bon|RICKY MARTIN|1999-12-11|39|22|15|19991225,,,,,,
40|42|30|7|If You Love Me|MINT CONDITION|1999-11-13|43|30|19|19991225,,,,,,
41|31|31|7|When I Said I Do|CLINT BLACK|1999-11-13|50|31|16|19991225,,,,,,
42|50|42|2|You Can Do It|ICE CUBE featuring MACK 10 & MS. TOI|1999-12-18|50|35|10|19991225,,,,,,
43|27|27|6|15 Minutes|MARC NELSON|1999-11-20|41|27|9|19991225,,,,,,
44|NEW|44|1|Don't Say You Love Me|M2M|1999-12-25|44|21|7|19991225,,,,,,
45|NEW|45|1|Amazed|LONESTAR|1999-12-25|45|1|35|19991225,,,,,,
46|NEW|46|1|What Do You Say|REBA|1999-12-25|46|46|3|19991225,,,,,,
47|NEW|47|1|The Christmas Song (Chestnuts Roasting On An Open Fire)|CHRISTINA AGUILERA|1999-12-25|47|18|3|19991225,,,,,,
48|48|48|2|Got To Get It|SISQO featuring MAKE IT HOT|1999-12-18|48|40|16|19991225,,,,,,
49|44|14|28|She's So High|TAL BACHMAN|1999-06-19|78|14|28|19991225,,,,,,
50|NEW|50|1|Thank God I Found You|MARIAH CAREY featuring JOE & 98 DEGREES|1999-12-25|50|1|18|19991225,,,,,,
51|41|1|17|Heartbreaker|MARIAH CAREY featuring JAY-Z|1999-09-04|60|1|20|19991225,,,,,,
52|61|52|5|Cowboy Take Me Away|DIXIE CHICKS|1999-11-27|79|48|7|19991225,,,,,,
53|36|10|15|(You Drive Me) Crazy|BRITNEY SPEARS|1999-09-18|62|10|20|19991225,,,,,,
54|64|54|5|My Best Friend|TIM McGRAW|1999-11-27|85|50|7|19991225,,,,,,
55|57|55|7|Pop A Top|ALAN JACKSON|1999-11-13|79|43|16|19991225,,,,,,
56|62|56|6|Angels|ROBBIE WILLIAMS|1999-11-20|85|53|19|19991225,,,,,,
57|55|55|15|All Things Considered|YANKEE GREY|1999-09-18|98|55|20|19991225,,,,,,
58|43|25|8|Will 2K|WILL SMITH featuring K-CI|1999-11-06|47|25|12|19991225,,,,,,
59|69|59|4|All The Small Things|BLINK 182|1999-12-04|89|51|6|19991225,,,,,,
60|49|24|18|I Love You|MARTINA McBRIDE|1999-08-28|82|24|20|19991225,,,,,,
61|60|52|16|Higher|CREED|1999-09-11|81|52|20|19991225,,,,,,
62|58|36|15|Bling Bling|B.G. feat BABY, TURK, MANNIE FRESH & JUVENILE|1999-09-18|73|36|19|19991225,,,,
63|67|63|4|Caught Out There|KELIS|1999-12-04|84|54|12|19991225,,,,,,
64|73|64|7|Deep Inside|MARY J. BLIGE|1999-11-13|83|63|15|19991225,,,,,,
65|66|28|20|Something Like That|TIM McGRAW|1999-08-14|77|28|20|19991225,,,,,,
66|59|26|15|Gotta Man|EVE|1999-09-18|86|26|16|19991225,,,,,,
67|79|67|4|Rhythm Divine|ENRIQUE IGLESIAS|1999-12-04|90|32|17|19991225,,,,,,
68|53|45|5|Home To You|JOHN MICHAEL MONTGOMERY|1999-11-27|48|45|12|19991225,,,,,,
69|76|69|6|Sexual (Li Da Di)|AMBER|1999-11-20|95|42|15|19991225,,,,,,
70|65|25|15|Largen Than Life|BACKSTREET BOYS|1999-09-18|70|25|19|19991225,,,,,,
71|84|71|3|None Of Ur Friends Business|GINUWINE|1999-12-11|94|48|15|19991225,,,,,,
72|71|33|14|Bug A Boo|DESTINY'S CHILD|1999-09-25|87|33|20|19991225,,,,,,
73|75|67|13|Chemicals Between Us|BUSH|1999-10-02|84|67|20|19991225,,,,,,
74|81|74|6|She Thinks My Tractor's Sexy|KENNY CHESNEY|1999-11-20|90|74|12|19991225,,,,,,
75|77|75|5|Still D.R.E.|DR. DRE & SNOOP DOGG|1999-11-27|93|70|7|19991225,,,,,,
76|80|32|16|There She Goes|SIXPENCE NONE THE RICHER|1999-09-11|63|32|20|19991225,,,,,,
77|63|8|16|We Can't Be Friends|DEBORAH COX with R.L.|1999-09-11|75|8|20|19991225,,,,,,
78|85|78|4|N 2 Gether Now|LIMP BIZKIT & METHOD MAN|1999-12-04|94|73|11|19991225,,,,,,
79|NEW|79|1|The Great Beyond|R.E.M.|1999-12-25|79|57|14|19991225,,,,,,
80|89|80|2|Smile|LONESTAR|1999-12-18|89|39|20|19991225,,,,,,
81|70|58|10|Come On Over|SHANIA TWAIN|1999-10-23|74|58|10|19991225,,,,,,
82|83|77|8|Rockafella Skank|FATBOY SLIM|1999-11-06|94|76|12|19991225,,,,,,
83|NEW|83|1|Say My Name|DESTINY'S CHILD|1999-12-25|83|1|32|19991225,,,,,,
84|92|84|4|Tha Block Is Hot|LIL WAYNE & JUVENILE|1999-12-04|99|72|11|19991225,,,,,,
85|86|2|17|Music Of My Heart|'N SYNC & GLORIA ESTEFAN|1999-09-04|66|2|18|19991225,,,,,,
86|NEW|86|1|No More Rain|ANGIE STONE|1999-12-25|86|56|17|19991225,,,,,,
87|91|69|9|Guerrilla Radio|RAGE AGAINST THE MACHINE|1999-10-30|69|69|20|19991225,,,,,,
88|82|82|3|Notorious B.I.G.|NOTORIOUS BIG & PUFF DADDY|1999-12-11|90|82|7|19991225,,,,,,
89|NEW|89|1|Auld Lang Syne|KENNY G|1999-12-25|89|7|5|19991225,,,,,,
90|78|71|10|Give Me What You Want|CHICO DeBARGE|1999-10-23|94|71|13|19991225,,,,,,
91|88|83|11|Steam|TY HERNDON|1999-10-16|100|83|12|19991225,,,,,,
92|87|63|10|Greatest Romance Ever Sold|T.A.F.K.A. PRINCE|1999-10-23|96|63|13|19991225,,,,,,
93|72|23|15|I Want It All|WARREN G featuring MACK 10|1999-09-18|76|23|15|19991225,,,,,,
94|94|94|4|Live Laugh Love|CLAY WALKER|1999-12-04|95|74|11|19991225,,,,,,
95|90|90|4|Re-Arranged|LIMP BIZKIT|1999-12-04|91|88|18|19991225,,,,,,
96|NEW|96|1|One Night Stand|J-SHIN & LaTOCHA SCOTT|1999-12-25|96|34|16|19991225,,,,,,
97|NEW|97|1|Deck The Halls|SHEDAISY|1999-12-25|97|61|3|19991225,,,,,,
98|98|98|2|Still Dre|DR. DRE|1999-12-18|98|98|2|19991225,,,,,,
99|99|98|5|L.A. Song|BETH HART|1999-11-27|99|90|12|19991225,,,,,,
100|100|92|5|Nastradamus|NAS|1999-11-27|94|92|6|19991225,,,,,,
1|1|1|21|Smooth|SANTANA featuring ROB THOMAS|1999-07-31|78|1|58|19991218,,,,,,
2|2|2|17|Back At One|BRIAN McKNIGHT|1999-08-28|75|2|37|19991218,,,,,,
3|3|3|10|I Wanna Love You Forever|JESSICA SIMPSON|1999-10-16|69|3|20|19991218,,,,,,
4|6|4|9|I Knew I Loved You|SAVAGE GARDEN|1999-10-23|71|1|33|19991218,,,,,,
5|5|5|16|My Love Is Your Love|WHITNEY HOUSTON|1999-09-04|81|4|28|19991218,,,,,,
6|4|3|15|I Need To Know|MARC ANTHONY|1999-09-11|77|3|40|19991218,,,,,,
7|7|7|13|U Know What's Up|DONELL JONES|1999-09-25|88|7|24|19991218,,,,,,
8|9|8|10|Waiting For Tonight|JENNIFER LOPEZ|1999-10-16|56|8|20|19991218,,,,,,
9|13|9|4|Hot Boyz|MISSY  ELLIOTT & NAS & EVE|1999-11-27|36|5|21|19991218,,,,,,
10|17|10|3|24/7|KEVON EDMONDS|1999-12-04|22|10|16|19991218,,,,,,
11|14|11|7|Bring It All To Me|BLAQUE|1999-11-06|50|5|27|19991218,,,,,,
12|11|9|19|Steal My Sunshine|LEN|1999-08-14|71|9|25|19991218,,,,,,
13|8|3|17|Mambo No. 5 (A Little Bit Of ...)|LOU BEGA|1999-08-28|63|3|22|19991218,,,,,,
14|10|10|4|Girl On TV|LFO|1999-11-27|16|10|16|19991218,,,,,,
15|12|1|26|Unpretty|TLC|1999-06-26|76|1|32|19991218,,,,,,
16|19|16|5|Then The Morning Comes|SMASH MOUTH|1999-11-20|46|11|23|19991218,,,,,,
17|15|4|34|Where My Girls At?|702|1999-05-01|90|4|42|19991218,,,,,,
18|28|18|2|What A Girl Wants|CHRISTINA AGUILERA|1999-12-11|28|1|22|19991218,,,,,,
19|16|2|13|Satisfy You|PUFF DADDY featuring R KELLY|1999-09-25|74|2|20|19991218,,,,,,
20|18|13|18|Get Gone|IDEAL|1999-08-21|86|13|22|19991218,,,,,,
21|27|21|4|4,5, 6|SOLE featuring JT MONEY & KANDI|1999-11-27|47|21|12|19991218,,,,
22|24|22|7|Meet Virginia|TRAIN|1999-11-06|48|20|23|19991218,,,,,,
23|20|7|25|Someday|SUGAR RAY|1999-07-03|66|7|32|19991218,,,,,,
24|22|19|24|Back That Thang Up|JUVENILE feat. MANNY FRESH & LIL' WAYNE|1999-07-10|78|19|30|19991218,,,,,,
25|30|25|4|Learn To Fly|FOO FIGHTERS|1999-11-27|42|19|15|19991218,,,,,,
26|29|26|5|Big Deal|LeANN RIMES|1999-11-20|48|23|15|19991218,,,,,,
27|36|27|5|15 Minutes|MARC NELSON|1999-11-20|41|27|9|19991218,,,,,,
28|35|28|3|Breathe|FAITH HILL|1999-12-04|42|2|49|19991218,,,,,,
29|NEW|29|1|Blue (Da Ba Dee)|EIFFEL 65|1999-12-18|29|6|19|19991218,,,,,,
30|33|30|4|He Didn't Have To Be|BRAD PAISLEY|1999-11-27|46|30|15|19991218,,,,,,
31|31|31|6|When I Said I Do|CLINT BLACK|1999-11-13|50|31|16|19991218,,,,,,
32|NEW|32|1|He Can't Love U|JAGGED EDGE|1999-12-18|32|15|19|19991218,,,,,,
33|42|16|24|Black Balloon|GOO GOO DOLLS|1999-07-10|66|16|34|19991218,,,,,,
34|44|34|3|That's The Way It Is|CELINE DION|1999-12-04|49|6|25|19991218,,,,,,
35|37|35|3|Hangingaround|COUNTING CROWS|1999-12-04|46|28|16|19991218,,,,,,
36|23|10|14|(You Drive Me) Crazy|BRITNEY SPEARS|1999-09-18|62|10|20|19991218,,,,,,
37|40|37|3|Got Your Money|OL' DIRTY BASTARD featuring KELIS|1999-12-04|48|33|14|19991218,,,,,,
38|43|38|2|Get It On Tonite|MONTELL JORDAN|1999-12-11|43|4|25|19991218,,,,,,
39|39|39|2|Shake Your Bon-Bon|RICKY MARTIN|1999-12-11|39|22|15|19991218,,,,,,
40|34|31|11|Stay The Night|IMX|1999-10-09|84|23|20|19991218,,,,,,
41|21|1|16|Heartbreaker|MARIAH CAREY featuring JAY-Z|1999-09-04|60|1|20|19991218,,,,,,
42|41|30|6|If You Love Me|MINT CONDITION|1999-11-13|43|30|19|19991218,,,,,,
43|25|25|7|Will 2K|WILL SMITH featuring K-CI|1999-11-06|47|25|12|19991218,,,,,,
44|47|14|27|She's So High|TAL BACHMAN|1999-06-19|78|14|28|19991218,,,,,,
45|32|1|25|Genie In A Bottle|CHRISTINA AGUILERA|1999-07-03|61|1|25|19991218,,,,,,
46|NEW|46|1|Dancin'|GUY|1999-12-18|46|19|11|19991218,,,,,,
47|26|9|29|Scar Tissue|RED HOT CHILI PEPPERS|1999-06-05|89|9|29|19991218,,,,,,
48|NEW|48|1|Got To Get It|SISQO featuring MAKE IT HOT|1999-12-18|48|40|16|19991218,,,,,,
49|38|24|17|I Love You|MARTINA McBRIDE|1999-08-28|82|24|20|19991218,,,,,,
50|NEW|50|1|You Can Do It|ICE CUBE featuring MACK 10 & MS. TOI|1999-12-18|50|35|10|19991218,,,,,,
51|56|51|8|What Do You Say|REBA|1999-10-30|88|51|8|19991218,,,,,,
52|64|52|4|Take A Picture|FILTER|1999-11-27|91|52|4|19991218,,,,,,
53|45|45|4|Home To You|JOHN MICHAEL MONTGOMERY|1999-11-27|48|45|12|19991218,,,,,,
54|46|46|2|Don't Say You Love Me|M2M|1999-12-11|46|46|2|19991218,,,,,,
55|55|55|14|All Things Considered|YANKEE GREY|1999-09-18|98|55|20|19991218,,,,,,
56|48|13|20|I Do (Cherish You)|98 DEGREES|1999-08-07|66|13|20|19991218,,,,,,
57|63|57|6|Pop A Top|ALAN JACKSON|1999-11-13|79|43|16|19991218,,,,,,
58|51|36|14|Bling Bling|B.G. feat BABY, TURK, MANNIE FRESH & JUVENILE|1999-09-18|73|36|19|19991218,,,,
59|52|26|14|Gotta Man|EVE|1999-09-18|86|26|16|19991218,,,,,,
60|57|52|15|Higher|CREED|1999-09-11|81|52|20|19991218,,,,,,
61|70|61|4|Cowboy Take Me Away|DIXIE CHICKS|1999-11-27|79|48|7|19991218,,,,,,
62|69|62|5|Angels|ROBBIE WILLIAMS|1999-11-20|85|53|19|19991218,,,,,,
63|49|8|15|We Can't Be Friends|DEBORAH COX with R.L.|1999-09-11|75|8|20|19991218,,,,,,
64|71|64|4|My Best Friend|TIM McGRAW|1999-11-27|85|50|7|19991218,,,,,,
65|53|25|14|Largen Than Life|BACKSTREET BOYS|1999-09-18|70|25|19|19991218,,,,,,
66|60|28|19|Something Like That|TIM McGRAW|1999-08-14|77|28|20|19991218,,,,,,
67|68|67|3|Caught Out There|KELIS|1999-12-04|84|54|12|19991218,,,,,,
68|82|68|2|Thank God I've Found You|MARIAH CAREY & 98 DEGREES|1999-12-11|82|68|2|19991218,,,,,,
69|76|69|3|All The Small Things|BLINK 182|1999-12-04|89|51|6|19991218,,,,,,
70|61|58|9|Come On Over|SHANIA TWAIN|1999-10-23|74|58|10|19991218,,,,,,
71|65|33|13|Bug A Boo|DESTINY'S CHILD|1999-09-25|87|33|20|19991218,,,,,,
72|62|23|14|I Want It All|WARREN G featuring MACK 10|1999-09-18|76|23|15|19991218,,,,,,
73|75|73|6|Deep Inside|MARY J. BLIGE|1999-11-13|83|63|15|19991218,,,,,,
74|73|2|20|She's All I Ever Had|RICKY MARTIN|1999-08-07|63|2|20|19991218,,,,,,
75|72|67|12|Chemicals Between Us|BUSH|1999-10-02|84|67|20|19991218,,,,,,
76|79|76|5|Sexual (Li Da Di)|AMBER|1999-11-20|95|42|15|19991218,,,,,,
77|93|77|4|Still D.R.E.|DR. DRE & SNOOP DOGG|1999-11-27|93|70|7|19991218,,,,,,
78|78|71|9|Give Me What You Want|CHICO DeBARGE|1999-10-23|94|71|13|19991218,,,,,,
79|84|79|3|Rhythm Divine|ENRIQUE IGLESIAS|1999-12-04|90|32|17|19991218,,,,,,
80|59|32|15|There She Goes|SIXPENCE NONE THE RICHER|1999-09-11|63|32|20|19991218,,,,,,
81|81|81|5|She Thinks My Tractor's Sexy|KENNY CHESNEY|1999-11-20|90|74|12|19991218,,,,,,
82|90|82|2|Notorious B.I.G.|NOTORIOUS BIG & PUFF DADDY|1999-12-11|90|82|7|19991218,,,,,,
83|77|77|7|Rockafella Skank|FATBOY SLIM|1999-11-06|94|76|12|19991218,,,,,,
84|94|84|2|None Of Ur Friends Business|GINUWINE|1999-12-11|94|48|15|19991218,,,,,,
85|88|85|3|N 2 Gether Now|LIMP BIZKIT & METHOD MAN|1999-12-04|94|73|11|19991218,,,,,,
86|80|2|16|Music Of My Heart|'N SYNC & GLORIA ESTEFAN|1999-09-04|66|2|18|19991218,,,,,,
87|74|63|9|Greatest Romance Ever Sold|T.A.F.K.A. PRINCE|1999-10-23|96|63|13|19991218,,,,,,
88|85|83|10|Steam|TY HERNDON|1999-10-16|100|83|12|19991218,,,,,,
89|NEW|89|1|Smile|LONESTAR|1999-12-18|89|39|20|19991218,,,,,,
90|91|90|3|Re-Arranged|LIMP BIZKIT|1999-12-04|91|88|18|19991218,,,,,,
91|87|69|8|Guerrilla Radio|RAGE AGAINST THE MACHINE|1999-10-30|69|69|20|19991218,,,,,,
92|89|89|3|Tha Block Is Hot|LIL WAYNE & JUVENILE|1999-12-04|99|72|11|19991218,,,,,,
93|92|78|10|Dolphin's Cry|LIVE|1999-10-16|84|78|10|19991218,,,,,,
94|95|94|3|Live Laugh Love|CLAY WALKER|1999-12-04|95|74|11|19991218,,,,,,
95|83|45|16|What Do You Say To That|GEORGE STRAIT|1999-09-04|82|45|16|19991218,,,,,,
96|86|12|17|If I Could Turn Back The Hands Of Time|R KELLY|1999-08-28|72|12|17|19991218,,,,,,
97|NEW|97|1|The Christmas Song|CHRISTINA AGUILERA|1999-12-18|97|97|1|19991218,,,,,,
98|NEW|98|1|Still Dre|DR. DRE|1999-12-18|98|98|2|19991218,,,,,,
99|98|98|4|L.A. Song|BETH HART|1999-11-27|99|90|12|19991218,,,,,,
100|96|92|4|Nastradamus|NAS|1999-11-27|94|92|6|19991218,,,,,,
1|1|1|20|Smooth|SANTANA featuring ROB THOMAS|1999-07-31|78|1|58|19991211,,,,,,
2|2|2|16|Back At One|BRIAN McKNIGHT|1999-08-28|75|2|37|19991211,,,,,,
3|5|3|9|I Wanna Love You Forever|JESSICA SIMPSON|1999-10-16|69|3|20|19991211,,,,,,
4|3|3|14|I Need To Know|MARC ANTHONY|1999-09-11|77|3|40|19991211,,,,,,
5|6|5|15|My Love Is Your Love|WHITNEY HOUSTON|1999-09-04|81|4|28|19991211,,,,,,
6|7|6|8|I Knew I Loved You|SAVAGE GARDEN|1999-10-23|71|1|33|19991211,,,,,,
7|9|7|12|U Know What's Up|DONELL JONES|1999-09-25|88|7|24|19991211,,,,,,
8|4|3|16|Mambo No. 5 (A Little Bit Of ...)|LOU BEGA|1999-08-28|63|3|22|19991211,,,,,,
9|8|8|9|Waiting For Tonight|JENNIFER LOPEZ|1999-10-16|56|8|20|19991211,,,,,,
10|15|10|3|Girl On TV|LFO|1999-11-27|16|10|16|19991211,,,,,,
11|11|9|18|Steal My Sunshine|LEN|1999-08-14|71|9|25|19991211,,,,,,
12|10|1|25|Unpretty|TLC|1999-06-26|76|1|32|19991211,,,,,,
13|21|13|3|Hot Boyz|MISSY  ELLIOTT & NAS & EVE|1999-11-27|36|5|21|19991211,,,,,,
14|17|14|6|Bring It All To Me|BLAQUE|1999-11-06|50|5|27|19991211,,,,,,
15|13|4|33|Where My Girls At?|702|1999-05-01|90|4|42|19991211,,,,,,
16|12|2|12|Satisfy You|PUFF DADDY featuring R KELLY|1999-09-25|74|2|20|19991211,,,,,,
17|22|17|2|24/7|KEVON EDMONDS|1999-12-04|22|10|16|19991211,,,,,,
18|16|13|17|Get Gone|IDEAL|1999-08-21|86|13|22|19991211,,,,,,
19|23|19|4|Then The Morning Comes|SMASH MOUTH|1999-11-20|46|11|23|19991211,,,,,,
20|19|7|24|Someday|SUGAR RAY|1999-07-03|66|7|32|19991211,,,,,,
21|14|1|15|Heartbreaker|MARIAH CAREY featuring JAY-Z|1999-09-04|60|1|20|19991211,,,,,,
22|20|19|23|Back That Thang Up|JUVENILE feat. MANNY FRESH & LIL' WAYNE|1999-07-10|78|19|30|19991211,,,,,,
23|18|10|13|(You Drive Me) Crazy|BRITNEY SPEARS|1999-09-18|62|10|20|19991211,,,,,,
24|26|24|6|Meet Virginia|TRAIN|1999-11-06|48|20|23|19991211,,,,,,
25|25|25|6|Will 2K|WILL SMITH featuring K-CI|1999-11-06|47|25|12|19991211,,,,,,
26|24|9|28|Scar Tissue|RED HOT CHILI PEPPERS|1999-06-05|89|9|29|19991211,,,,,,
27|41|27|3|4,5, 6|SOLE featuring JT MONEY & KANDI|1999-11-27|47|21|12|19991211,,,,
28|NEW|28|1|What A Girl Wants|CHRISTINA AGUILERA|1999-12-11|28|1|22|19991211,,,,,,
29|37|29|4|Big Deal|LeANN RIMES|1999-11-20|48|23|15|19991211,,,,,,
30|32|30|3|Learn To Fly|FOO FIGHTERS|1999-11-27|42|19|15|19991211,,,,,,
31|33|31|5|When I Said I Do|CLINT BLACK|1999-11-13|50|31|16|19991211,,,,,,
32|28|1|24|Genie In A Bottle|CHRISTINA AGUILERA|1999-07-03|61|1|25|19991211,,,,,,
33|43|33|3|He Didn't Have To Be|BRAD PAISLEY|1999-11-27|46|30|15|19991211,,,,,,
34|34|31|10|Stay The Night|IMX|1999-10-09|84|23|20|19991211,,,,,,
35|42|35|2|Breathe|FAITH HILL|1999-12-04|42|2|49|19991211,,,,,,
36|29|29|4|15 Minutes|MARC NELSON|1999-11-20|41|27|9|19991211,,,,,,
37|46|37|2|Hangingaround|COUNTING CROWS|1999-12-04|46|28|16|19991211,,,,,,
38|31|24|16|I Love You|MARTINA McBRIDE|1999-08-28|82|24|20|19991211,,,,,,
39|NEW|39|1|Shake Your Bon-Bon|RICKY MARTIN|1999-12-11|39|22|15|19991211,,,,,,
40|48|40|2|Got Your Money|OL' DIRTY BASTARD featuring KELIS|1999-12-04|48|33|14|19991211,,,,,,
41|35|30|5|If You Love Me|MINT CONDITION|1999-11-13|43|30|19|19991211,,,,,,
42|47|16|23|Black Balloon|GOO GOO DOLLS|1999-07-10|66|16|34|19991211,,,,,,
43|NEW|43|1|Get It On Tonite|MONTELL JORDAN|1999-12-11|43|4|25|19991211,,,,,,
44|49|44|2|That's The Way It Is|CELINE DION|1999-12-04|49|6|25|19991211,,,,,,
45|45|45|3|Home To You|JOHN MICHAEL MONTGOMERY|1999-11-27|48|45|12|19991211,,,,,,
46|NEW|46|1|Don't Say You Love Me|M2M|1999-12-11|46|46|2|19991211,,,,,,
47|40|14|26|She's So High|TAL BACHMAN|1999-06-19|78|14|28|19991211,,,,,,
48|27|13|19|I Do (Cherish You)|98 DEGREES|1999-08-07|66|13|20|19991211,,,,,,
49|44|8|14|We Can't Be Friends|DEBORAH COX with R.L.|1999-09-11|75|8|20|19991211,,,,,,
50|36|4|30|All Star|SMASH MOUTH|1999-05-22|75|4|30|19991211,,,,,,
51|39|36|13|Bling Bling|B.G. feat BABY, TURK, MANNIE FRESH & JUVENILE|1999-09-18|73|36|19|19991211,,,,
52|38|26|13|Gotta Man|EVE|1999-09-18|86|26|16|19991211,,,,,,
53|30|25|13|Largen Than Life|BACKSTREET BOYS|1999-09-18|70|25|19|19991211,,,,,,
54|NEW|54|1|He Can't Love U|JAGGED EDGE|1999-12-11|54|54|1|19991211,,,,,,
55|60|55|13|All Things Considered|YANKEE GREY|1999-09-18|98|55|20|19991211,,,,,,
56|63|56|7|What Do You Say|REBA|1999-10-30|88|51|8|19991211,,,,,,
57|57|52|14|Higher|CREED|1999-09-11|81|52|20|19991211,,,,,,
58|73|58|4|Got To Get It|SISQO|1999-11-20|92|58|4|19991211,,,,,,
59|53|32|14|There She Goes|SIXPENCE NONE THE RICHER|1999-09-11|63|32|20|19991211,,,,,,
60|55|28|18|Something Like That|TIM McGRAW|1999-08-14|77|28|20|19991211,,,,,,
61|58|58|8|Come On Over|SHANIA TWAIN|1999-10-23|74|58|10|19991211,,,,,,
62|61|23|13|I Want It All|WARREN G featuring MACK 10|1999-09-18|76|23|15|19991211,,,,,,
63|64|63|5|Pop A Top|ALAN JACKSON|1999-11-13|79|43|16|19991211,,,,,,
64|74|64|3|Take A Picture|FILTER|1999-11-27|91|52|4|19991211,,,,,,
65|56|33|12|Bug A Boo|DESTINY'S CHILD|1999-09-25|87|33|20|19991211,,,,,,
66|86|66|2|You Can Do It|ICE CUBE|1999-12-04|86|66|2|19991211,,,,,,
67|NEW|67|1|Blue|EIFFEL 65|1999-12-11|67|67|1|19991211,,,,,,
68|84|68|2|Caught Out There|KELIS|1999-12-04|84|54|12|19991211,,,,,,
69|69|69|4|Angels|ROBBIE WILLIAMS|1999-11-20|85|53|19|19991211,,,,,,
70|72|70|3|Cowboy Take Me Away|DIXIE CHICKS|1999-11-27|79|48|7|19991211,,,,,,
71|76|71|3|My Best Friend|TIM McGRAW|1999-11-27|85|50|7|19991211,,,,,,
72|67|67|11|Chemicals Between Us|BUSH|1999-10-02|84|67|20|19991211,,,,,,
73|59|2|19|She's All I Ever Had|RICKY MARTIN|1999-08-07|63|2|20|19991211,,,,,,
74|68|63|8|Greatest Romance Ever Sold|T.A.F.K.A. PRINCE|1999-10-23|96|63|13|19991211,,,,,,
75|75|75|5|Deep Inside|MARY J. BLIGE|1999-11-13|83|63|15|19991211,,,,,,
76|89|76|2|All The Small Things|BLINK 182|1999-12-04|89|51|6|19991211,,,,,,
77|77|77|6|Rockafella Skank|FATBOY SLIM|1999-11-06|94|76|12|19991211,,,,,,
78|71|71|8|Give Me What You Want|CHICO DeBARGE|1999-10-23|94|71|13|19991211,,,,,,
79|88|79|4|Sexual (Li Da Di)|AMBER|1999-11-20|95|42|15|19991211,,,,,,
80|70|2|15|Music Of My Heart|'N SYNC & GLORIA ESTEFAN|1999-09-04|66|2|18|19991211,,,,,,
81|81|81|4|She Thinks My Tractor's Sexy|KENNY CHESNEY|1999-11-20|90|74|12|19991211,,,,,,
82|NEW|82|1|Thank God I've Found You|MARIAH CAREY & 98 DEGREES|1999-12-11|82|68|2|19991211,,,,,,
83|65|45|15|What Do You Say To That|GEORGE STRAIT|1999-09-04|82|45|16|19991211,,,,,,
84|90|84|2|Rhythm Divine|ENRIQUE IGLESIAS|1999-12-04|90|32|17|19991211,,,,,,
85|85|83|9|Steam|TY HERNDON|1999-10-16|100|83|12|19991211,,,,,,
86|66|12|16|If I Could Turn Back The Hands Of Time|R KELLY|1999-08-28|72|12|17|19991211,,,,,,
87|83|69|7|Guerrilla Radio|RAGE AGAINST THE MACHINE|1999-10-30|69|69|20|19991211,,,,,,
88|94|88|2|N 2 Gether Now|LIMP BIZKIT & METHOD MAN|1999-12-04|94|73|11|19991211,,,,,,
89|99|89|2|Tha Block Is Hot|LIL WAYNE & JUVENILE|1999-12-04|99|72|11|19991211,,,,,,
90|NEW|90|1|Notorious B.I.G.|NOTORIOUS BIG & PUFF DADDY|1999-12-11|90|82|7|19991211,,,,,,
91|91|91|2|Re-Arranged|LIMP BIZKIT|1999-12-04|91|88|18|19991211,,,,,,
92|80|78|9|Dolphin's Cry|LIVE|1999-10-16|84|78|10|19991211,,,,,,
93|93|93|3|Still D.R.E.|DR. DRE & SNOOP DOGG|1999-11-27|93|70|7|19991211,,,,,,
94|NEW|94|1|None Of Ur Friends Business|GINUWINE|1999-12-11|94|48|15|19991211,,,,,,
95|95|95|2|Live Laugh Love|CLAY WALKER|1999-12-04|95|74|11|19991211,,,,,,
96|92|92|3|Nastradamus|NAS|1999-11-27|94|92|6|19991211,,,,,,
97|82|42|14|I'm Already Taken|STEVE WARINER|1999-09-11|82|42|14|19991211,,,,,,
