"Data Source","World Development Indicators",

"Last Updated Date","2017-01-03",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","65.5693658536586","65.9880243902439","66.3655365853659","66.7139756097561","67.0442926829268","67.369756097561","67.699","68.0346829268293","68.3771463414634","68.7284146341464","69.0861463414634","69.4460975609756","69.7986585365854","70.1396585365854","70.4652926829268","70.7778048780488","71.0808292682927","71.3777073170732","71.6697804878049","71.9528536585366","72.2201463414634","72.4623414634146","72.6731951219512","72.8490243902439","72.989756097561","73.0979756097561","73.1793658536585","73.2427073170732","73.296243902439","73.3444878048781","73.3899756097561","73.4331219512195","73.471756097561","73.5053170731707","73.535756097561","73.5636097560976","73.5894390243902","73.6148048780488","73.6422926829268","73.6753902439025","73.7206097560976","73.7829024390244","73.865243902439","73.9685609756098","74.0908536585366","74.2280731707317","74.3761951219512","74.526756097561","74.6757317073171","74.8181463414634","74.9535365853659","75.0813902439024","75.205756097561","75.3286585365854","75.4510975609756","","",
"Andorra","AND","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","32.328512195122","32.7774390243902","33.2199024390244","33.6578780487805","34.0928780487805","34.5253902439024","34.9574146341463","35.3894146341463","35.8224146341463","36.2603902439024","36.7028292682927","37.152756097561","37.6101463414634","38.0785365853659","38.5609024390244","39.0592926829268","39.5757073170732","40.1101463414634","40.6676097560976","41.2505853658537","41.8675365853659","42.5269268292683","43.2307317073171","43.9759268292683","44.7590243902439","45.5770243902439","46.4269512195122","47.2963414634146","48.1697317073171","49.0311219512195","49.8610487804878","50.6409756097561","51.3629268292683","52.0218780487805","52.6143414634146","53.1393902439024","53.6020487804878","54.0178292682927","54.4027317073171","54.7672682926829","55.1258780487805","55.4875365853659","55.8571951219512","56.2352926829268","56.6263170731707","57.027243902439","57.4325609756098","57.8338292682927","58.2250243902439","58.6036829268293","58.9708292682927","59.3279512195122","59.6796097560976","60.0282682926829","60.3744634146342","","",
"Angola","AGO","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","32.9848292682927","33.3862195121951","33.7875853658537","34.1884634146342","34.5903414634146","34.9922195121951","35.3950975609756","35.7999756097561","36.2058536585366","36.610243902439","37.0151219512195","37.4210243902439","37.8269268292683","38.2268292682927","38.6137804878049","38.9758048780488","39.301","39.5813658536585","39.8158536585366","40.0053902439024","40.159243902439","40.2886585365854","40.408","40.528243902439","40.6539512195122","40.7777804878049","40.887487804878","40.9738780487805","41.0377073170732","41.0876585365854","41.1383414634146","41.2063414634146","41.3130243902439","41.4781951219512","41.716243902439","42.0514634146341","42.5016341463415","43.0621219512195","43.7142682926829","44.439","45.2047804878049","45.9731463414634","46.7117317073171","47.3931707317073","48.003512195122","48.5388048780488","49.0070487804878","49.4357317073171","49.8473902439024","50.2510243902439","50.6541707317073","51.0593170731707","51.464","51.8661707317073","52.2668780487805","","",
"Albania","ALB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","62.2543658536585","63.2734634146342","64.1628536585366","64.8870975609756","65.4381951219512","65.8273902439024","66.0893170731707","66.2872195121951","66.4749512195122","66.6816097560976","66.9325853658537","67.2388780487805","67.5859512195122","67.9579512195122","68.3483414634146","68.7412195121951","69.115512195122","69.4561707317073","69.754243902439","70.0096585365854","70.2359756097561","70.4544634146341","70.6851219512195","70.9373902439024","71.2065365853659","71.4712195121951","71.6975609756098","71.8619512195122","71.9532926829268","71.9785853658537","71.9573170731707","71.9184146341463","71.9008048780488","71.9358536585366","72.0419512195122","72.2360243902439","72.5274146341463","72.8980975609756","73.3265853658537","73.7933902439025","74.2715365853659","74.7325609756098","75.1546097560976","75.5232926829268","75.8312195121951","76.0816097560976","76.2861219512195","76.4702926829268","76.6520731707317","76.8403658536586","77.0369512195122","77.2405853658537","77.4439756097561","77.6404634146342","77.8304634146342","","",
"Arab World","ARB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","46.850022199724","47.4301269937098","48.008602900953","48.5897653203123","49.1743524731534","49.7576231228378","50.3299930228101","50.8856967103547","51.4242998556135","51.9518774129012","52.4789448125386","53.0207204473093","53.5870213524693","54.1791831728837","54.7918301429426","55.4166047695777","56.0427629534793","56.6611918917075","57.2711677591494","57.8797403965523","58.4983686528598","59.1375735307656","59.7995323943451","60.4782104511738","61.1576384622548","61.8189457951327","62.440710370971","63.0092850696788","63.5170691137247","63.9635171966052","64.4487756958338","64.7962243465133","65.0698103741899","65.4002521549252","65.7461078405466","66.1458310860618","66.4867392942915","66.8179436424344","67.1181903396738","67.4033131440575","67.6514348947179","67.8846698166577","68.1026251611506","68.3135558757881","68.5327227981639","68.7535209692104","68.9831885620902","69.2070082278487","69.41718277696","69.6189294898082","69.8130248039599","69.9930095159335","70.173669569961","70.3698056783184","70.5679019105773","","",
"United Arab Emirates","ARE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","52.2432195121951","53.2865609756098","54.327","55.363512195122","56.3925853658537","57.4057073170732","58.3918536585366","59.3404634146342","60.2440487804878","61.0985853658537","61.9010487804878","62.6549512195122","63.3663170731707","64.0431219512195","64.6889024390244","65.3051463414634","65.8933414634146","66.454","66.9886097560976","67.4971707317073","67.9831951219512","68.4451707317073","68.8840975609756","69.3014878048781","69.6983170731707","70.0766341463415","70.4363902439024","70.7781219512195","71.1048292682927","71.418","71.7201463414634","72.0122926829268","72.2964146341463","72.5730243902439","72.8455853658537","73.1150731707317","73.3839268292683","73.6526585365854","73.9202195121951","74.1871707317073","74.4515365853659","74.7128780487805","74.9682682926829","75.2172195121951","75.4572682926829","75.6863902439025","75.9045365853659","76.1111707317073","76.307756097561","76.4947804878049","76.675243902439","76.8511951219512","77.0241463414634","77.1956341463415","77.3681707317073","","",
"Argentina","ARG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","65.2155365853659","65.338512195122","65.4326097560976","65.5093902439024","65.5824146341463","65.6686829268293","65.782243902439","65.9300243902439","66.113487804878","66.3350975609756","66.5908292682927","66.8731219512195","67.1679512195122","67.4653170731707","67.7586585365854","68.0479512195122","68.3367073170732","68.6294390243903","68.9266341463415","69.2243170731707","69.5144878048781","69.7866585365854","70.0353170731707","70.257","70.4541951219512","70.6313902439024","70.7990731707317","70.967756097561","71.1459024390244","71.3375365853659","71.5436585365854","71.7632926829268","71.9889512195122","72.2156585365854","72.4413902439024","72.6651219512195","72.8873414634146","73.1080487804878","73.3276829268293","73.5442682926829","73.7558048780488","73.9603170731707","74.1557804878049","74.3412682926829","74.5187804878049","74.6878048780488","74.8499024390244","75.0090487804878","75.1662682926829","75.3245609756098","75.4849756097561","75.6490487804878","75.816243902439","75.9860975609756","76.1586097560976","","",
"Armenia","ARM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","65.8634634146342","66.2843902439024","66.7098536585366","67.1378536585366","67.5654146341463","67.9915365853659","68.4147317073171","68.8304878048781","69.2292682926829","69.6000487804878","69.9242682926829","70.1828780487805","70.3673414634146","70.4796585365854","70.5263414634146","70.5319268292683","70.5294146341464","70.5429024390244","70.5829756097561","70.6412682926829","70.6845365853659","70.6616097560976","70.535512195122","70.2901463414634","69.9356829268293","69.5","69.0242926829268","68.5675609756098","68.1820975609756","67.899512195122","67.7478048780488","67.7382926829268","67.8533414634147","68.0695609756098","68.3766585365854","68.7635609756098","69.2168536585366","69.7164146341464","70.2402195121951","70.7670975609756","71.2765853658537","71.7558292682927","72.2016097560976","72.6095853658537","72.973756097561","73.2873902439024","73.5482682926829","73.7646585365854","73.945","74.0958292682927","74.2263414634146","74.3428292682927","74.4520975609756","74.5613658536585","74.6757073170732","","",
"American Samoa","ASM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","61.7827317073171","62.1954146341464","62.5985365853659","62.9925853658537","63.3785853658537","63.7560731707317","64.1255609756098","64.4880731707317","64.8421219512195","65.1891951219512","65.5293414634146","65.8620243902439","66.1882682926829","66.508","66.8217804878049","67.1300731707317","67.4333902439025","67.730756097561","68.0226341463415","68.3095365853659","68.5919756097561","68.8689512195122","69.1409268292683","69.4079268292683","69.6704634146342","69.928512195122","70.1825609756098","70.4326341463415","70.6797317073171","70.9228292682927","71.1629512195122","71.4005853658537","71.6347073170732","71.8658536585366","72.093","72.3176829268293","72.5388536585366","72.7575609756098","72.9737804878049","73.1860243902439","73.3972926829268","73.6070975609756","73.8154390243902","74.0217804878049","74.2261463414634","74.4254390243903","74.6181463414634","74.8032195121951","74.9791707317073","75.1470243902439","75.3087804878049","75.4660243902439","75.6218048780488","75.7786585365854","75.9376341463415","","",
"Australia","AUS","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","70.8170731707317","70.9731707317073","70.9424390243903","70.9117073170732","70.8809756097561","70.850243902439","70.819512195122","70.8692682926829","70.9190243902439","70.9687804878049","71.0185365853659","71.0682926829268","71.4575609756098","71.8468292682927","72.2360975609756","72.6253658536586","73.0146341463415","73.3443902439024","73.6741463414634","74.0039024390244","74.3336585365854","74.6634146341463","74.9048780487805","75.1463414634146","75.3878048780488","75.6292682926829","75.8707317073171","76.1517073170732","76.4326829268293","76.7136585365854","76.9946341463415","77.2756097560976","77.3780487804878","77.8780487804878","77.8780487804878","77.8292682926829","78.0780487804878","78.4804878048781","78.6317073170732","78.9317073170732","79.2341463414634","79.6341463414634","79.9365853658537","80.2390243902439","80.490243902439","80.8414634146341","81.0414634146342","81.2926829268293","81.3951219512195","81.5439024390244","81.6951219512195","81.8951219512195","82.0463414634146","82.1487804878049","82.2512195121951","","",
"Austria","AUT","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","68.5856097560976","69.5773170731707","69.309512195122","69.4436585365854","69.9219512195122","69.7221951219512","70.0458536585366","69.9178048780488","70.0575609756098","69.8331707317073","69.9146341463415","70.1146341463415","70.4634146341463","71.0146341463415","71.0121951219512","71.1146341463415","71.5658536585366","71.9146341463415","72.0121951219512","72.3121951219512","72.4634146341463","72.8121951219512","72.9609756097561","73.0121951219512","73.6121951219512","73.8146341463415","74.3170731707317","74.7682926829268","75.2170731707317","75.2658536585366","75.5682926829269","75.6170731707317","75.8170731707317","76.0682926829268","76.419512195122","76.6682926829268","76.8707317073171","77.319512195122","77.6707317073171","77.8756097560976","78.1268292682927","78.5756097560976","78.6780487804878","78.6317073170732","79.1804878048781","79.3317073170732","79.8804878048781","80.1804878048781","80.4317073170732","80.3317073170732","80.5804878048781","80.9829268292683","80.9365853658537","81.1365853658537","81.3365853658537","","",
"Azerbaijan","AZE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","60.836243902439","61.2391707317073","61.6445853658537","62.052","62.4574146341463","62.8618292682927","63.2672682926829","63.6687317073171","64.0567073170732","64.4186829268293","64.7346097560976","64.9814390243903","65.1481219512195","65.2341707317073","65.2435853658537","65.1874390243903","65.0822926829268","64.9532195121951","64.828756097561","64.7279512195122","64.6813170731707","64.7164390243903","64.8307317073171","65.0080975609756","65.2259024390244","65.4277804878049","65.5413414634147","65.5259268292683","65.3691463414634","65.0892682926829","64.7463658536585","64.4241463414634","64.207243902439","64.1540243902439","64.2815853658537","64.5758292682927","64.994","65.4623902439024","65.9233658536585","66.3554878048781","66.758243902439","67.1502926829268","67.5610731707317","68.0036829268293","68.4701951219512","68.9372682926829","69.375243902439","69.756512195122","70.0639512195122","70.2936829268293","70.4513170731707","70.5518048780488","70.6239512195122","70.6905853658537","70.7632195121951","","",
"Burundi","BDI","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","41.2360487804878","41.5454634146341","41.8603902439024","42.1778048780488","42.4922195121951","42.7901463414634","43.0550731707317","43.2800243902439","43.4679756097561","43.6274390243902","43.7819268292683","43.9599268292683","44.1849512195122","44.4714634146341","44.8184634146341","45.2189024390244","45.6537317073171","46.0929268292683","46.5134878048781","46.9029512195122","47.2628292682927","47.6046829268293","47.9385853658537","48.2615853658537","48.560243902439","48.7855853658537","48.8811707317073","48.8244634146341","48.6264146341464","48.3234878048781","48.0001219512195","47.7652195121951","47.7017317073171","47.8585853658537","48.2392682926829","48.8007804878049","49.4626097560976","50.1198536585366","50.6920487804878","51.149243902439","51.4854878048781","51.7248292682927","51.9282682926829","52.1453170731707","52.3963902439024","52.6969512195122","53.0538780487805","53.4560731707317","53.8910243902439","54.3512195121951","54.8291951219512","55.3120243902439","55.7892926829268","56.2516097560976","56.6920243902439","","",
"Belgium","BEL","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","69.7019512195122","70.5209756097561","70.219512195122","70.0514634146342","70.7551219512195","70.6253658536586","70.7063414634146","71.0129268292683","70.6931707317073","70.7648780487805","70.9719512195122","71.0604878048781","71.4051219512195","71.6353658536586","71.9858536585366","71.9712195121951","72.119756097561","72.7739024390244","72.6980487804878","73.1936585365854","73.2070731707317","73.6217073170732","73.8880487804878","73.8690243902439","74.4048780487805","74.520243902439","74.7317073170732","75.3658536585366","75.5658536585366","75.6326829268293","76.0519512195122","76.1921951219512","76.3512195121951","76.3453658536585","76.6917073170732","76.8407317073171","77.1873170731707","77.3707317073171","77.4731707317073","77.619512195122","77.7219512195122","77.9731707317073","78.0756097560976","78.1292682926829","78.8780487804878","78.9804878048781","79.380487804878","79.7829268292683","79.6804878048781","79.9829268292683","80.1829268292683","80.5853658536585","80.3853658536585","80.5878048780488","80.5878048780488","","",
"Benin","BEN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","37.2782682926829","37.7311951219512","38.1894146341463","38.6573414634146","39.1368536585366","39.6327317073171","40.148243902439","40.6808292682927","41.2281219512195","41.785756097561","42.35","42.9167317073171","43.4798048780488","44.0334878048781","44.5724878048781","45.0869024390244","45.5651463414634","46.0100487804878","46.4279268292683","46.8292682926829","47.2345853658537","47.6689268292683","48.1503414634146","48.6883170731707","49.2827804878049","49.9346829268293","50.6384634146342","51.3690243902439","52.0967317073171","52.7934634146341","53.42","53.9357073170732","54.3270243902439","54.5949756097561","54.7500731707317","54.8159512195122","54.8318048780488","54.8423170731707","54.8901463414634","54.9987804878049","55.188243902439","55.4664878048781","55.8143170731707","56.2080731707317","56.6331707317073","57.0659756097561","57.4833902439024","57.8673902439024","58.204512195122","58.4912682926829","58.7297073170732","58.9329024390244","59.1219756097561","59.3120243902439","59.5105853658537","","",
"Burkina Faso","BFA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","34.4779024390244","34.9386341463415","35.4058780487805","35.8796585365854","36.3589512195122","36.837756097561","37.3090487804878","37.7683170731707","38.2165365853659","38.6577317073171","39.0968780487805","39.538512195122","39.9951707317073","40.4803414634146","41.0065853658537","41.6063902439024","42.3132926829268","43.130243902439","44.0397804878049","45.0133902439024","45.9975609756098","46.9283170731707","47.7496341463415","48.422","48.9243658536585","49.2512195121951","49.4175365853659","49.4722682926829","49.4629024390244","49.4198780487805","49.3656097560976","49.3164634146342","49.2779512195122","49.2596585365854","49.2777073170732","49.3383658536585","49.443512195122","49.5883414634146","49.7769268292683","50.0207073170732","50.3459268292683","50.7832195121951","51.3401951219512","52.0080731707317","52.7677804878049","53.5813170731707","54.4039024390244","55.1888048780488","55.9022926829268","56.5249756097561","57.0513902439024","57.4920487804878","57.8793170731707","58.2406341463415","58.5884634146341","","",
"Bangladesh","BGD","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","45.8293170731707","46.4579268292683","47.0839756097561","47.6924634146342","48.2554390243903","48.6895365853659","48.8954146341463","48.8381463414634","48.5367073170732","48.0515365853659","47.5254146341463","47.1385853658537","47.0343170731707","47.295512195122","47.9301219512195","48.8708048780488","49.9877317073171","51.1056829268293","52.0898292682927","52.8872926829268","53.4880487804878","53.9280243902439","54.3030731707317","54.6895609756098","55.1144390243903","55.5906585365854","56.1151951219512","56.6685853658537","57.2348780487805","57.8156585365854","58.4175609756098","59.0502682926829","59.7178536585366","60.4188048780488","61.1455365853659","61.8873902439024","62.6295609756098","63.3578780487805","64.0591463414634","64.7238292682927","65.3479756097561","65.9301707317073","66.4781707317073","67.0001463414634","67.4971951219512","67.9718536585366","68.4256341463415","68.8599756097561","69.2778536585366","69.6837804878049","70.0802926829268","70.4719512195122","70.8602682926829","71.245243902439","71.6259024390244","","",
"Bulgaria","BGR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","69.2475609756098","70.1956097560976","69.4919512195122","70.3092682926829","71.1212195121951","71.2939024390244","71.2234146341464","70.4139024390244","71.2251219512195","70.43","71.2563414634146","70.8736585365854","70.899512195122","71.3421951219512","71.2080487804878","71.049756097561","71.3948780487805","70.8160975609756","71.1846341463415","71.3082926829268","71.1575609756098","71.5719512195122","71.1860975609756","71.3863414634146","71.499756097561","71.2280487804878","71.7307317073171","71.5268292682927","71.6043902439024","71.7224390243903","71.6414634146342","71.5609756097561","71.4943902439024","71.3468292682927","71.2087804878049","71.0534146341464","70.8973170731707","70.3512195121951","71.0609756097561","71.4121951219512","71.6634146341463","71.7682926829268","71.8658536585366","72.0658536585366","72.5634146341463","72.5609756097561","72.6121951219512","72.6634146341463","72.9634146341463","73.4121951219512","73.5121951219512","74.1634146341463","74.3146341463415","74.8609756097561","75.4073170731707","","",
"Bahrain","BHR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","52.0893658536585","53.4585121951219","54.8182682926829","56.1465853658537","57.4258780487805","58.6400731707317","59.7831219512195","60.858","61.8697317073171","62.8172926829268","63.6991951219512","64.5174878048781","65.2777073170732","65.9864146341464","66.6466097560976","67.2638292682927","67.8395609756098","68.3777804878049","68.8789756097561","69.3456097560976","69.7786585365854","70.1765853658537","70.5373658536586","70.864","71.16","71.4278780487805","71.6716829268293","71.8959512195122","72.1057073170732","72.3079756097561","72.507243902439","72.709512195122","72.9147317073171","73.1239024390244","73.337512195122","73.5550731707317","73.7750975609756","73.9916097560976","74.2030975609756","74.4060731707317","74.5994878048781","74.7818292682927","74.9540731707317","75.1177073170732","75.2732195121951","75.4221463414634","75.5664634146342","75.707756097561","75.847512195122","75.9877804878049","76.1275609756098","76.2678536585366","76.4076341463415","76.5459512195122","76.6832682926829","","",
